,Total,county
0,1425,"Autauga, AL"
1,3418,"Baldwin, AL"
2,671,"Barbour, AL"
3,787,"Bibb, AL"
4,1667,"Blount, AL"
5,254,"Bullock, AL"
6,398,"Butler, AL"
7,3287,"Calhoun, AL"
8,984,"Chambers, AL"
9,683,"Cherokee, AL"
10,1217,"Chilton, AL"
11,491,"Choctaw, AL"
12,580,"Clarke, AL"
13,237,"Clay, AL"
14,393,"Cleburne, AL"
15,1741,"Coffee, AL"
16,1398,"Colbert, AL"
17,303,"Conecuh, AL"
18,364,"Coosa, AL"
19,986,"Covington, AL"
20,425,"Crenshaw, AL"
21,1995,"Cullman, AL"
22,1121,"Dale, AL"
23,1297,"Dallas, AL"
24,1960,"DeKalb, AL"
25,1792,"Elmore, AL"
26,1266,"Escambia, AL"
27,2808,"Etowah, AL"
28,311,"Fayette, AL"
29,565,"Franklin, AL"
30,863,"Geneva, AL"
31,217,"Greene, AL"
32,552,"Hale, AL"
33,536,"Henry, AL"
34,2430,"Houston, AL"
35,1430,"Jackson, AL"
36,15805,"Jefferson, AL"
37,384,"Lamar, AL"
38,2386,"Lauderdale, AL"
39,963,"Lawrence, AL"
40,3579,"Lee, AL"
41,2142,"Limestone, AL"
42,329,"Lowndes, AL"
43,585,"Macon, AL"
44,6324,"Madison, AL"
45,437,"Marengo, AL"
46,837,"Marion, AL"
47,2574,"Marshall, AL"
48,11554,"Mobile, AL"
49,606,"Monroe, AL"
50,5694,"Montgomery, AL"
51,2108,"Morgan, AL"
52,188,"Perry, AL"
53,648,"Pickens, AL"
54,504,"Pike, AL"
55,645,"Randolph, AL"
56,1746,"Russell, AL"
57,2426,"St. Clair, AL"
58,4040,"Shelby, AL"
59,247,"Sumter, AL"
60,2535,"Talladega, AL"
61,836,"Tallapoosa, AL"
62,3697,"Tuscaloosa, AL"
63,2139,"Walker, AL"
64,403,"Washington, AL"
65,260,"Wilcox, AL"
66,634,"Winston, AL"
67,56,"Aleutians East Borough, AK"
68,213,"Aleutians West Census Area, AK"
69,5883,"Anchorage Municipality, AK"
70,1165,"Bethel Census Area, AK"
71,11,"Bristol Bay Borough, AK"
72,12,"Denali Borough, AK"
73,255,"Dillingham Census Area, AK"
74,1596,"Fairbanks North Star Borough, AK"
75,15,"Haines Borough, AK"
76,71,"Hoonah-Angoon Census Area, AK"
77,647,"Juneau City and Borough, AK"
78,904,"Kenai Peninsula Borough, AK"
79,329,"Ketchikan Gateway Borough, AK"
80,184,"Kodiak Island Borough, AK"
81,667,"Kusilvak Census Area, AK"
82,44,"Lake and Peninsula Borough, AK"
83,2363,"Matanuska-Susitna Borough, AK"
84,638,"Nome Census Area, AK"
85,466,"North Slope Borough, AK"
86,603,"Northwest Arctic Borough, AK"
87,56,"Petersburg Borough, AK"
88,188,"Prince of Wales-Hyder Census Area, AK"
89,152,"Sitka City and Borough, AK"
90,6,"Skagway Municipality, AK"
91,107,"Southeast Fairbanks Census Area, AK"
92,48,"Valdez-Cordova Census Area, AK"
93,32,"Wrangell City and Borough, AK"
94,17,"Yakutat City and Borough, AK"
95,197,"Yukon-Koyukuk Census Area, AK"
96,3430,"Apache, AZ"
97,3284,"Cochise, AZ"
98,3511,"Coconino, AZ"
99,2026,"Gila, AZ"
100,1193,"Graham, AZ"
101,347,"Greenlee, AZ"
102,450,"La Paz, AZ"
103,99821,"Maricopa, AZ"
104,5772,"Mohave, AZ"
105,4657,"Navajo, AZ"
106,21064,"Pima, AZ"
107,10701,"Pinal, AZ"
108,1959,"Santa Cruz, AZ"
109,5170,"Yavapai, AZ"
110,7175,"Yuma, AZ"
111,747,"Arkansas, AR"
112,567,"Ashley, AR"
113,782,"Baxter, AR"
114,5295,"Benton, AR"
115,797,"Boone, AR"
116,178,"Bradley, AR"
117,128,"Calhoun, AR"
118,903,"Carroll, AR"
119,369,"Chicot, AR"
120,390,"Clark, AR"
121,315,"Clay, AR"
122,620,"Cleburne, AR"
123,282,"Cleveland, AR"
124,574,"Columbia, AR"
125,505,"Conway, AR"
126,2532,"Craighead, AR"
127,2349,"Crawford, AR"
128,1279,"Crittenden, AR"
129,577,"Cross, AR"
130,134,"Dallas, AR"
131,430,"Desha, AR"
132,390,"Drew, AR"
133,2129,"Faulkner, AR"
134,268,"Franklin, AR"
135,411,"Fulton, AR"
136,2102,"Garland, AR"
137,522,"Grant, AR"
138,1397,"Greene, AR"
139,732,"Hempstead, AR"
140,1237,"Hot Spring, AR"
141,315,"Howard, AR"
142,1207,"Independence, AR"
143,293,"Izard, AR"
144,429,"Jackson, AR"
145,1865,"Jefferson, AR"
146,570,"Johnson, AR"
147,172,"Lafayette, AR"
148,324,"Lawrence, AR"
149,216,"Lee, AR"
150,268,"Lincoln, AR"
151,391,"Little River, AR"
152,683,"Logan, AR"
153,1767,"Lonoke, AR"
154,344,"Madison, AR"
155,309,"Marion, AR"
156,956,"Miller, AR"
157,1541,"Mississippi, AR"
158,244,"Monroe, AR"
159,182,"Montgomery, AR"
160,328,"Nevada, AR"
161,227,"Newton, AR"
162,917,"Ouachita, AR"
163,208,"Perry, AR"
164,679,"Phillips, AR"
165,251,"Pike, AR"
166,1061,"Poinsett, AR"
167,596,"Polk, AR"
168,1142,"Pope, AR"
169,324,"Prairie, AR"
170,7632,"Pulaski, AR"
171,480,"Randolph, AR"
172,835,"St. Francis, AR"
173,2768,"Saline, AR"
174,309,"Scott, AR"
175,97,"Searcy, AR"
176,2912,"Sebastian, AR"
177,489,"Sevier, AR"
178,457,"Sharp, AR"
179,327,"Stone, AR"
180,898,"Union, AR"
181,492,"Van Buren, AR"
182,3826,"Washington, AR"
183,1933,"White, AR"
184,89,"Woodruff, AR"
185,478,"Yell, AR"
186,46629,"Alameda, CA"
187,51,"Alpine, CA"
188,893,"Amador, CA"
189,4298,"Butte, CA"
190,1044,"Calaveras, CA"
191,474,"Colusa, CA"
192,30087,"Contra Costa, CA"
193,745,"Del Norte, CA"
194,3476,"El Dorado, CA"
195,32067,"Fresno, CA"
196,363,"Glenn, CA"
197,2611,"Humboldt, CA"
198,9146,"Imperial, CA"
199,331,"Inyo, CA"
200,26617,"Kern, CA"
201,4279,"Kings, CA"
202,1267,"Lake, CA"
203,451,"Lassen, CA"
204,328846,"Los Angeles, CA"
205,5602,"Madera, CA"
206,2536,"Marin, CA"
207,424,"Mariposa, CA"
208,2433,"Mendocino, CA"
209,8960,"Merced, CA"
210,103,"Modoc, CA"
211,3,"Mono, CA"
212,14256,"Monterey, CA"
213,3282,"Napa, CA"
214,1260,"Nevada, CA"
215,84387,"Orange, CA"
216,7471,"Placer, CA"
217,306,"Plumas, CA"
218,84118,"Riverside, CA"
219,38575,"Sacramento, CA"
220,2193,"San Benito, CA"
221,82978,"San Bernardino, CA"
222,83332,"San Diego, CA"
223,15480,"San Francisco, CA"
224,24926,"San Joaquin, CA"
225,4745,"San Luis Obispo, CA"
226,17826,"San Mateo, CA"
227,11383,"Santa Barbara, CA"
228,55174,"Santa Clara, CA"
229,5495,"Santa Cruz, CA"
230,3384,"Shasta, CA"
231,27,"Sierra, CA"
232,1050,"Siskiyou, CA"
233,13501,"Solano, CA"
234,9490,"Sonoma, CA"
235,17317,"Stanislaus, CA"
236,3894,"Sutter, CA"
237,1669,"Tehama, CA"
238,276,"Trinity, CA"
239,15954,"Tulare, CA"
240,1026,"Tuolumne, CA"
241,24564,"Ventura, CA"
242,4271,"Yolo, CA"
243,2094,"Yuba, CA"
244,14576,"Adams, CO"
245,178,"Alamosa, CO"
246,13150,"Arapahoe, CO"
247,181,"Archuleta, CO"
248,61,"Baca, CO"
249,141,"Bent, CO"
250,2829,"Boulder, CO"
251,1012,"Broomfield, CO"
252,343,"Chaffee, CO"
253,13,"Cheyenne, CO"
254,24,"Clear Creek, CO"
255,179,"Conejos, CO"
256,91,"Costilla, CO"
257,108,"Crowley, CO"
258,50,"Custer, CO"
259,680,"Delta, CO"
260,13182,"Denver, CO"
261,29,"Dolores, CO"
262,4034,"Douglas, CO"
263,496,"Eagle, CO"
264,657,"Elbert, CO"
265,11882,"El Paso, CO"
266,692,"Fremont, CO"
267,984,"Garfield, CO"
268,93,"Gilpin, CO"
269,13,"Grand, CO"
270,64,"Gunnison, CO"
271,4,"Hinsdale, CO"
272,212,"Huerfano, CO"
273,6,"Jackson, CO"
274,8529,"Jefferson, CO"
275,32,"Kiowa, CO"
276,48,"Kit Carson, CO"
277,95,"Lake, CO"
278,521,"La Plata, CO"
279,4251,"Larimer, CO"
280,406,"Las Animas, CO"
281,29,"Lincoln, CO"
282,289,"Logan, CO"
283,2920,"Mesa, CO"
284,4,"Mineral, CO"
285,230,"Moffat, CO"
286,628,"Montezuma, CO"
287,942,"Montrose, CO"
288,767,"Morgan, CO"
289,657,"Otero, CO"
290,18,"Ouray, CO"
291,189,"Park, CO"
292,83,"Phillips, CO"
293,184,"Pitkin, CO"
294,290,"Prowers, CO"
295,4176,"Pueblo, CO"
296,134,"Rio Blanco, CO"
297,157,"Rio Grande, CO"
298,76,"Routt, CO"
299,180,"Saguache, CO"
300,25,"San Juan, CO"
301,60,"San Miguel, CO"
302,21,"Sedgwick, CO"
303,267,"Summit, CO"
304,666,"Teller, CO"
305,73,"Washington, CO"
306,6837,"Weld, CO"
307,99,"Yuma, CO"
308,17445,"Fairfield, CT"
309,15146,"Hartford, CT"
310,2845,"Litchfield, CT"
311,1659,"Middlesex, CT"
312,17001,"New Haven, CT"
313,5080,"New London, CT"
314,1610,"Tolland, CT"
315,2470,"Windham, CT"
316,5433,"Kent, DE"
317,13022,"New Castle, DE"
318,4913,"Sussex, DE"
319,11063,"District of Columbia, DC"
320,3701,"Alachua, FL"
321,1095,"Baker, FL"
322,4694,"Bay, FL"
323,707,"Bradford, FL"
324,11622,"Brevard, FL"
325,53809,"Broward, FL"
326,414,"Calhoun, FL"
327,2899,"Charlotte, FL"
328,3044,"Citrus, FL"
329,6183,"Clay, FL"
330,7849,"Collier, FL"
331,1842,"Columbia, FL"
332,748,"DeSoto, FL"
333,332,"Dixie, FL"
334,19058,"Duval, FL"
335,4845,"Escambia, FL"
336,2262,"Flagler, FL"
337,225,"Franklin, FL"
338,1363,"Gadsden, FL"
339,421,"Gilchrist, FL"
340,290,"Glades, FL"
341,478,"Gulf, FL"
342,564,"Hamilton, FL"
343,768,"Hardee, FL"
344,1528,"Hendry, FL"
345,4164,"Hernando, FL"
346,1700,"Highlands, FL"
347,30587,"Hillsborough, FL"
348,344,"Holmes, FL"
349,2967,"Indian River, FL"
350,990,"Jackson, FL"
351,297,"Jefferson, FL"
352,341,"Lafayette, FL"
353,7513,"Lake, FL"
354,15703,"Lee, FL"
355,3953,"Leon, FL"
356,1152,"Levy, FL"
357,219,"Liberty, FL"
358,413,"Madison, FL"
359,8229,"Manatee, FL"
360,6318,"Marion, FL"
361,2402,"Martin, FL"
362,93159,"Miami-Dade, FL"
363,835,"Monroe, FL"
364,1612,"Nassau, FL"
365,3767,"Okaloosa, FL"
366,763,"Okeechobee, FL"
367,31614,"Orange, FL"
368,11065,"Osceola, FL"
369,31841,"Palm Beach, FL"
370,11319,"Pasco, FL"
371,16585,"Pinellas, FL"
372,19044,"Polk, FL"
373,1889,"Putnam, FL"
374,4137,"St. Johns, FL"
375,8587,"St. Lucie, FL"
376,3854,"Santa Rosa, FL"
377,6784,"Sarasota, FL"
378,8071,"Seminole, FL"
379,1069,"Sumter, FL"
380,1091,"Suwannee, FL"
381,417,"Taylor, FL"
382,249,"Union, FL"
383,10616,"Volusia, FL"
384,622,"Wakulla, FL"
385,1262,"Walton, FL"
