,Total,county,population,Poverty_Rate
0,1425,"Autauga, AL",55246,2.57937226224523
1,3418,"Baldwin, AL",195540,1.7479799529508029
2,671,"Barbour, AL",27076,2.4782094844142413
3,787,"Bibb, AL",22512,3.4959132906894097
4,1667,"Blount, AL",57872,2.880494885264031
5,254,"Bullock, AL",10639,2.3874424287996994
6,398,"Butler, AL",20265,1.9639773007648655
7,3287,"Calhoun, AL",116736,2.815755208333333
8,984,"Chambers, AL",34162,2.880393419589017
9,683,"Cherokee, AL",26203,2.6065717665916117
10,1217,"Chilton, AL",43951,2.768992741917135
11,491,"Choctaw, AL",13426,3.6570832712647103
12,580,"Clarke, AL",25207,2.3009481493236006
13,237,"Clay, AL",13486,1.7573780216520836
14,393,"Cleburne, AL",14994,2.6210484193677472
15,1741,"Coffee, AL",50938,3.4178805606816134
16,1398,"Colbert, AL",54520,2.5641966250917094
17,303,"Conecuh, AL",12887,2.3512066423527584
18,364,"Coosa, AL",10898,3.3400623967700493
19,986,"Covington, AL",37886,2.6025444755318587
20,425,"Crenshaw, AL",13986,3.038753038753039
21,1995,"Cullman, AL",80811,2.46872331737016
22,1121,"Dale, AL",49884,2.247213535402133
23,1297,"Dallas, AL",41996,3.08838937041623
24,1960,"DeKalb, AL",71013,2.760058017546083
25,1792,"Elmore, AL",80902,2.2150255865120765
26,1266,"Escambia, AL",37983,3.3330700576573733
27,2808,"Etowah, AL",103931,2.701792535432162
28,311,"Fayette, AL",16909,1.8392572003075287
29,565,"Franklin, AL",31532,1.791830521375111
30,863,"Geneva, AL",26727,3.2289445130392487
31,217,"Greene, AL",8744,2.4817017383348583
32,552,"Hale, AL",15406,3.5830196027521746
33,536,"Henry, AL",17296,3.0989824236817762
34,2430,"Houston, AL",103668,2.344021298761431
35,1430,"Jackson, AL",52951,2.7006099979226077
36,15805,"Jefferson, AL",659479,2.3965888223885825
37,384,"Lamar, AL",14236,2.697386906434392
38,2386,"Lauderdale, AL",92797,2.5712038104680106
39,963,"Lawrence, AL",33587,2.8671807544585706
40,3579,"Lee, AL",150933,2.371250819900221
41,2142,"Limestone, AL",88845,2.4109404018234004
42,329,"Lowndes, AL",10703,3.0739045127534337
43,585,"Macon, AL",19688,2.9713531084924827
44,6324,"Madison, AL",346892,1.823045789467615
45,437,"Marengo, AL",20155,2.168196477300918
46,837,"Marion, AL",30334,2.759280015823828
47,2574,"Marshall, AL",94760,2.7163360067539046
48,11554,"Mobile, AL",414079,2.7902888096232847
49,606,"Monroe, AL",22236,2.7253103076092824
50,5694,"Montgomery, AL",226659,2.5121437930988844
51,2108,"Morgan, AL",119787,1.7597902944392965
52,188,"Perry, AL",10020,1.87624750499002
53,648,"Pickens, AL",19401,3.3400340188650066
54,504,"Pike, AL",33339,1.5117430036893729
55,645,"Randolph, AL",22727,2.838034056408677
56,1746,"Russell, AL",59585,2.9302676848200053
