stnam,fipst,leaid,leanm10,ALL_COHORT_1011,ALL_RATE_1011,MAM_COHORT_1011,MAM_RATE_1011,MAS_COHORT_1011,MAS_RATE_1011,MBL_COHORT_1011,MBL_RATE_1011,MHI_COHORT_1011,MHI_RATE_1011,MTR_COHORT_1011,MTR_RATE_1011,MWH_COHORT_1011,MWH_RATE_1011,CWD_COHORT_1011,CWD_RATE_1011,ECD_COHORT_1011,ECD_RATE_1011,LEP_COHORT_1011,LEP_RATE_1011
ALABAMA,1,100005,Albertville City,252,80,,,,,12,GE50,56,70-79,,,184,80-84,3,PS,121,65-69,10,LT50
ALABAMA,1,100006,Marshall County,398,75,6,GE50,1,PS,2,PS,27,40-59,,,362,77,47,70-79,233,65-69,10,LT50
ALABAMA,1,100007,Hoover City,1020,89,2,PS,53,80-89,221,75-79,30,60-79,,,713,92,51,40-49,175,75-79,12,LT50
ALABAMA,1,100008,Madison City,750,91,9,GE50,53,80-89,129,85-89,30,GE80,,,528,93,35,60-69,102,80-84,12,GE50
ALABAMA,1,100011,Leeds City,128,55-59,,,2,PS,43,40-49,8,GE50,,,75,65-69,15,LT50,68,40-44,3,PS
ALABAMA,1,100012,Boaz City,166,90-94,,,1,PS,1,PS,13,GE50,,,149,90-94,9,GE50,53,70-79,6,GE50
ALABAMA,1,100013,Trussville City,336,90,,,2,PS,27,GE80,6,GE50,,,299,90-94,30,60-79,35,60-69,4,PS
ALABAMA,1,100030,Alexander City,273,77,2,PS,1,PS,98,70-74,6,GE50,,,165,80-84,11,LT50,93,70-74,1,PS
ALABAMA,1,100060,Andalusia City,134,70-74,,,,,46,60-69,,,,,88,70-74,4,PS,60,50-59,,
ALABAMA,1,100090,Anniston City,266,58,,,3,PS,250,55-59,6,GE50,,,7,GE50,33,50-59,195,55-59,3,PS
ALABAMA,1,100100,Arab City,204,88,1,PS,2,PS,1,PS,3,PS,,,196,85-89,13,GE50,60,60-69,,
ALABAMA,1,100120,Athens City,235,85,2,PS,4,PS,61,70-74,20,GE80,,,148,90-94,6,LT50,84,70-74,7,GE50
