county,crime_rate_per_100000
"St. Louis, MO",1791.995377
"St. Louis, MO",303.36194539999997
"Crittenden, AR",1754.914968
"Alexander, IL",1664.700485
"Kenedy, TX",1456.31068
"De Soto, LA",1447.40243
"Baltimore, MD",1419.5375689999998
"Baltimore, MD",508.01018210000007
"Shelby, TN",1315.0037519999998
"Marlboro, SC",1253.437132
"Storey, NV",1217.656012
"Dillon, SC",1165.583272
"Scott, MO",1163.145839
"Philadelphia, PA",1150.2963300000001
"Pershing, NV",1148.756725
"Greenwood, SC",1140.226324
"Madison, TN",1138.4238300000002
"Davidson, TN",1129.513728
"Marion, IN",1083.5081189999999
"Wayne, MI",1065.188284
"Jackson, MO",1026.623686
"Northwest Arctic, AK",1014.964216
"Pemiscot, MO",998.7095326
"Iberville, LA",974.0162436
"Pulaski, AR",959.9165822999998
"Jefferson, AR",959.1343197999998
"Miller, AR",956.1771347000001
"Muskogee, OK",954.4400666000001
"Barnwell, SC",953.9310095000001
"Tangipahoa, LA",952.8593755
"Marion, SC",941.6313295
"Dillingham, AK",938.1237525
"Dougherty, GA",930.4176661
"Carter, OK",930.0694973999999
"Genesee, MI",922.7783983999999
"Macon, AL",919.3417310000001
"Milwaukee, WI",912.6349471000001
"Richland, SC",911.4452882000002
"Grundy, TN",911.2461105000001
"Greene, AL",903.4766697000001
"Rock, MN",892.8571429
"San Joaquin, CA",887.1644385
"Pottawattamie, IA",873.5225606
"Nolan, TX",871.1844117999999
"Kodiak Island, AK",856.0311284
"Winnebago, IL",854.9331535
"Suffolk, MA",831.2342903
"Saginaw, MI",828.830479
"Dallas, AL",828.6503477000001
"Fulton, GA",826.1767583
"Madison, FL",822.2981632
"Phillips, AR",818.6675817
"Sangamon, IL",817.9969369
"Haywood, TN",812.1158911
"Lucas, OH",810.9662621
"Robeson, NC",809.8427036
"Meade, KS",805.8945428999999
"Escambia, FL",798.51676
"Jefferson, AL",798.3574913
"Nicholas, WV",793.3756981
"Franklin, FL",793.2402137999999
"St. Clair, IL",782.1542957
"Orleans, LA",782.1184796
"Ector, TX",781.9089826000001
"Avoyelles, LA",777.2585293
"Rapides, LA",773.7920330000001
"Sumter, SC",767.644257
"Comanche, OK",766.7864603999999
"Mississippi, AR",763.9897241
"Colleton, SC",762.1467132
"Modoc, CA",754.3456871000001
"Alameda, CA",753.6935735000001
"Sumter, GA",752.455044
"Darlington, SC",746.3016117999999
"Red River, LA",742.0733078
"Lubbock, TX",740.6920961
"Socorro, NM",739.3084622
"Duval, TX",738.8316151
"Bernalillo, NM",738.4818924
"Marion, TX",732.7796776
"Lee, SC",730.3646372999999
"Shasta, CA",725.2206951000001
"Laurens, SC",724.7580365
"North Slope, AK",722.6925459
"Hinds, MS",721.5219335
"Cibola, NM",720.6877628999999
"Tulsa, OK",719.1412721
"Putnam, FL",717.8582747
"Jefferson, TX",710.8948399
"Ohio, WV",706.6572141
"San Francisco, CA",701.4217103999999
"Bamberg, SC",699.9351912000001
"Merced, CA",696.3544912000001
"Harris, TX",696.1038338
"Jim Wells, TX",695.7773512
"Oklahoma, OK",694.8738489
"McKinley, NM",694.3307687999999
"Mississippi, MO",693.1802269
"Alpine, CA",690.2502157
"Calhoun, GA",689.8666258
"Dyer, TN",688.2474551
"Clark, NV",685.1530769999999
"Guadalupe, NM",681.1689739
"San Juan, NM",675.0828044
"Fairfield, SC",675.0616643
"McDonald, MO",673.8186009
"Taylor, FL",673.754211
"Wayne, GA",668.2847357999999
"East Baton Rouge, LA",667.0754469
"Leon, FL",664.1948589
"Lander, NV",663.1299735
"Orange, FL",662.6310837
"Leflore, MS",661.2459265
"Essex, NJ",659.9836619
"Peach, GA",658.9175982999999
"Burke, GA",658.7270427
"Hamilton, TN",658.496643
"Miami-Dade, FL",656.0124347999999
"Columbia, FL",654.3979391
"Crockett, TN",651.0862861
"Lenoir, NC",650.100146
"Hempstead, AR",649.6395835
"Hutchinson, TX",646.2257665
"Richmond, VA",644.9835135
"Richmond, VA",644.9835135
"Richmond, VA",11.16944041
"Richmond, VA",11.16944041
"Jefferson Davis, MS",644.4593237
"Conecuh, AL",644.0599053
"Morehouse, LA",639.3909155
"Early, GA",635.5530259999999
"Henderson, TN",634.6263548
"Richmond, NY",634.123325
"New York, NY",634.0093435
"Jefferson, IL",633.9923403
"Bronx, NY",632.0428157
"Queens, NY",630.3962024
"Kings, NY",630.2492642000001
"Warren, GA",629.7229219
"Nash, NC",628.8580653
"Lauderdale, TN",626.0118726
"Cocke, TN",625.7222582
"Bowie, TX",622.5464503
"Hampton, SC",622.3049784
"Hendry, FL",621.814203
"Duval, FL",621.5464156
"Durham, NC",621.2408853
"Greene, MO",620.7066615
"Jefferson, FL",619.9802734
"Escambia, AL",618.6978385
"Horry, SC",617.6419817000001
"Nueces, TX",616.5739392
"Sedgwick, KS",615.5337693
"Edgecombe, NC",615.3956886
"Montgomery, KS",615.303861
"Caddo, LA",614.7822368
"Graham, AZ",613.6278747
"Madera, CA",612.9051308999999
"Sebastian, AR",612.5237549
"Emanuel, GA",612.2359732000001
"Camden, NJ",610.3101467
"Nye, NV",609.9723385
"Greenlee, AZ",607.8019671
"Alachua, FL",605.2451953
"Union, AR",604.5117216
"Peoria, IL",603.941007
"Madison, AL",603.3578173999999
"Calhoun, MI",602.1686961
"Williamsburg, SC",601.8084495
"Roberts, TX",601.6847172
"Bradley, TN",600.895452
"Anderson, SC",600.0807801
"Denver, CO",599.0808243
"Chester, SC",598.5634477000001
"Lowndes, AL",597.9631879
"Willacy, TX",597.6004743999999
"Cook, IL",596.6569350999999
"Clark, IN",593.2458517000001
"DeKalb, GA",592.9851123
"Potter, TX",592.6303417
"Arkansas, AR",591.1487457999999
"Chicot, AR",591.0895457
"Cochise, AZ",590.856781
"Wyandotte, KS",590.457901
"Turner, GA",590.1155643
"Lake, CA",588.7879737000001
"Luna, NM",588.0206009999999
"Manatee, FL",585.7833537
"Hampden, MA",583.3274487000001
"Haralson, GA",582.5583436000001
"New Castle, DE",581.7888096
"Calhoun, AL",580.7976974
"Jackson, IL",580.1317417
"St. James, LA",579.2570797999999
"Sullivan, TN",578.5625339
"Greenville, SC",577.3131534
"Concordia, LA",577.2429312
"Jefferson, KY",576.7462264
"Kern, CA",575.8432818
"Clayton, GA",575.2781772999999
"Plumas, CA",572.6708732999999
"Emporia, VA",572.6556908
"Kershaw, SC",571.0538102
"Mecosta, MI",570.6597383
"Natchitoches, LA",569.7787317000001
"Eddy, NM",569.6670332
"Union, SC",567.2493757
"West Carroll, LA",566.9428696
"Vermilion, IL",565.1757149
"Rio Arriba, NM",563.9848272999999
"Cumberland, NC",562.7993899
"Hardeman, TN",562.6092907000001
"Independence, AR",562.2077466
"St. Mary, LA",562.1649888999999
"Chambers, AL",562.0279843
"Tehama, CA",561.3968313999999
"Brooks, GA",560.7115236000001
"Champaign, IL",560.2815072999999
"Glynn, GA",559.4542867
