,county,crime_rate_per_100000
0,"St. Louis, MO",1791.995377
1,"Crittenden, AR",1754.914968
2,"Alexander, IL",1664.700485
3,"Kenedy, TX",1456.31068
4,"De Soto, LA",1447.40243
5,"Baltimore, MD",1419.5375689999998
6,"Shelby, TN",1315.0037519999998
7,"Marlboro, SC",1253.437132
8,"Storey, NV",1217.656012
9,"District of Columbia, DC",1216.801325
10,"Dillon, SC",1165.583272
11,"Scott, MO",1163.145839
12,"Philadelphia, PA",1150.2963300000001
13,"Pershing, NV",1148.756725
14,"Greenwood, SC",1140.226324
15,"Madison, TN",1138.4238300000002
16,"Davidson, TN",1129.513728
17,"Marion, IN",1083.5081189999999
18,"Wayne, MI",1065.188284
19,"Jackson, MO",1026.623686
20,"Northwest Arctic, AK",1014.964216
21,"Pemiscot, MO",998.7095326
22,"Iberville, LA",974.0162436
23,"Pulaski, AR",959.9165822999998
24,"Jefferson, AR",959.1343197999998
25,"Miller, AR",956.1771347000001
26,"Muskogee, OK",954.4400666000001
27,"Barnwell, SC",953.9310095000001
28,"Tangipahoa, LA",952.8593755
29,"Marion, SC",941.6313295
30,"Dillingham, AK",938.1237525
31,"Dougherty, GA",930.4176661
32,"Carter, OK",930.0694973999999
33,"Genesee, MI",922.7783983999999
34,"Macon, AL",919.3417310000001
35,"Milwaukee, WI",912.6349471000001
36,"Richland, SC",911.4452882000002
37,"Grundy, TN",911.2461105000001
38,"Greene, AL",903.4766697000001
39,"Rock, MN",892.8571429
40,"San Joaquin, CA",887.1644385
41,"Pottawattamie, IA",873.5225606
42,"Nolan, TX",871.1844117999999
43,"Kodiak Island, AK",856.0311284
44,"Winnebago, IL",854.9331535
45,"Suffolk, MA",831.2342903
46,"Saginaw, MI",828.830479
47,"Dallas, AL",828.6503477000001
48,"Fulton, GA",826.1767583
49,"Anchorage Municipality, AK",824.7217146
50,"Madison, FL",822.2981632
51,"Phillips, AR",818.6675817
52,"Sangamon, IL",817.9969369
53,"Haywood, TN",812.1158911
54,"Lucas, OH",810.9662621
55,"Robeson, NC",809.8427036
56,"Meade, KS",805.8945428999999
57,"Escambia, FL",798.51676
58,"Jefferson, AL",798.3574913
59,"Nicholas, WV",793.3756981
60,"Franklin, FL",793.2402137999999
61,"St. Clair, IL",782.1542957
62,"Orleans, LA",782.1184796
63,"Ector, TX",781.9089826000001
64,"Avoyelles, LA",777.2585293
65,"Rapides, LA",773.7920330000001
66,"Sumter, SC",767.644257
67,"Comanche, OK",766.7864603999999
68,"Mississippi, AR",763.9897241
69,"Colleton, SC",762.1467132
70,"Modoc, CA",754.3456871000001
71,"Alameda, CA",753.6935735000001
72,"Sumter, GA",752.455044
73,"Darlington, SC",746.3016117999999
74,"Red River, LA",742.0733078
75,"Lubbock, TX",740.6920961
76,"Socorro, NM",739.3084622
77,"Duval, TX",738.8316151
