,county,counts
0,"Los Angeles, CA",228
1,"Cook, IL",125
2,"Maricopa, AZ",92
3,"New York, NY",91
4,"Miami-Dade, FL",88
5,"Harris, TX",77
6,"Dallas, TX",76
7,"Orange, CA",75
8,"San Diego, CA",75
9,"Bexar, TX",53
10,"Kings, NY",52
11,"Broward, FL",48
12,"Allegheny, PA",47
13,"Alameda, CA",47
14,"King, WA",46
15,"St. Louis, MO",46
16,"Philadelphia, PA",45
17,"Middlesex, MA",41
18,"Davidson, TN",39
19,"Riverside, CA",38
20,"Cuyahoga, OH",37
21,"Franklin, OH",37
22,"Fulton, GA",36
23,"Hennepin, MN",36
24,"Marion, IN",35
25,"Suffolk, MA",35
26,"Tarrant, TX",35
27,"Baltimore, MD",35
28,"Orange, FL",34
29,"Clark, NV",34
30,"Shelby, TN",34
31,"Wayne, MI",34
32,"Salt Lake, UT",33
33,"Sacramento, CA",33
34,"Hamilton, OH",32
35,"Montgomery, PA",32
36,"Hillsborough, FL",32
37,"Palm Beach, FL",31
38,"Oakland, MI",31
39,"Travis, TX",31
40,"San Bernardino, CA",31
41,"San Juan Municipio, PR",31
42,"Multnomah, OR",31
43,"Hartford, CT",30
44,"Queens, NY",30
45,"Santa Clara, CA",30
46,"East Baton Rouge, LA",29
47,"Duval, FL",29
48,"Jefferson, KY",28
49,"New Haven, CT",28
50,"Milwaukee, WI",27
51,"Mecklenburg, NC",27
52,"Erie, NY",26
53,"Jackson, MO",26
54,"San Francisco, CA",25
55,"District Of Columbia, DC",25
56,"Norfolk, MA",25
57,"Westchester, NY",25
58,"Oklahoma, OK",24
59,"Dupage, IL",24
60,"Tulsa, OK",24
61,"Pulaski, AR",24
62,"Fresno, CA",23
63,"Denver, CO",23
64,"Nassau, NY",23
65,"Pima, AZ",22
66,"Bayamón Municipio, PR",22
67,"Delaware, PA",22
68,"Worcester, MA",22
69,"Honolulu, HI",21
70,"Wake, NC",21
71,"Fairfax, VA",21
72,"Albany, NY",21
73,"Arapahoe, CO",20
74,"Monroe, NY",20
75,"El Paso, CO",19
76,"Middlesex, NJ",19
77,"Fairfield, CT",19
78,"Montgomery, OH",19
79,"Dekalb, GA",19
80,"Rockland, NY",18
81,"Greene, MO",18
82,"Johnson, KS",18
83,"Hidalgo, TX",18
84,"Orleans, LA",18
85,"Suffolk, NY",18
86,"Richland, SC",18
87,"Utah, UT",17
88,"Charleston, SC",17
89,"Dane, WI",17
90,"Bernalillo, NM",17
91,"Hampden, MA",17
92,"Guilford, NC",17
93,"Ramsey, MN",17
94,"Virginia Beach, VA",17
95,"Kent, MI",16
96,"Providence, RI",16
97,"Pinellas, FL",16
98,"Jefferson, AL",16
99,"Bergen, NJ",16
100,"Hinds, MS",16
101,"Spokane, WA",16
102,"Douglas, NE",16
103,"Lancaster, PA",15
104,"Ocean, NJ",15
105,"Ventura, CA",15
106,"Lee, FL",15
107,"Essex, NJ",15
108,"Hillsborough, NH",15
109,"Onondaga, NY",15
110,"El Paso, TX",14
111,"Lehigh, PA",14
112,"Ponce Municipio, PR",14
113,"Lake, IN",14
114,"Bucks, PA",14
115,"Lucas, OH",14
116,"Caddo, LA",14
117,"Polk, IA",14
118,"New Castle, DE",13
119,"Cumberland, ME",13
120,"Sedgwick, KS",13
121,"Kern, CA",13
122,"Knox, TN",13
123,"Hudson, NJ",13
124,"Camden, NJ",13
125,"Cobb, GA",13
126,"Polk, FL",13
127,"Stanislaus, CA",13
128,"Lackawanna, PA",13
129,"Prince George'S, MD",13
130,"Greene, OH",13
131,"Seminole, FL",13
132,"Lancaster, NE",13
133,"Stark, OH",13
134,"Allen, IN",13
