                               Labor Force Data by County, 2018 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2018        25,957       25,015        942      3.6
CN0100300000000   01     003   Baldwin County, AL                                2018        93,849       90,456      3,393      3.6
CN0100500000000   01     005   Barbour County, AL                                2018         8,373        7,940        433      5.2
CN0100700000000   01     007   Bibb County, AL                                   2018         8,661        8,317        344      4.0
CN0100900000000   01     009   Blount County, AL                                 2018        25,006       24,128        878      3.5
CN0101100000000   01     011   Bullock County, AL                                2018         4,776        4,552        224      4.7
CN0101300000000   01     013   Butler County, AL                                 2018         8,914        8,487        427      4.8
CN0101500000000   01     015   Calhoun County, AL                                2018        45,972       43,833      2,139      4.7
CN0101700000000   01     017   Chambers County, AL                               2018        15,276       14,679        597      3.9
CN0101900000000   01     019   Cherokee County, AL                               2018        11,622       11,207        415      3.6
CN0102100000000   01     021   Chilton County, AL                                2018        19,476       18,773        703      3.6
CN0102300000000   01     023   Choctaw County, AL                                2018         4,694        4,434        260      5.5
CN0102500000000   01     025   Clarke County, AL                                 2018         7,627        7,057        570      7.5
CN0102700000000   01     027   Clay County, AL                                   2018         5,963        5,730        233      3.9
CN0102900000000   01     029   Cleburne County, AL                               2018         5,743        5,499        244      4.2
CN0103100000000   01     031   Coffee County, AL                                 2018        20,817       19,995        822      3.9
CN0103300000000   01     033   Colbert County, AL                                2018        23,258       22,184      1,074      4.6
CN0103500000000   01     035   Conecuh County, AL                                2018         4,494        4,259        235      5.2
CN0103700000000   01     037   Coosa County, AL                                  2018         4,376        4,193        183      4.2
CN0103900000000   01     039   Covington County, AL                              2018        15,617       14,902        715      4.6
CN0104100000000   01     041   Crenshaw County, AL                               2018         6,298        6,041        257      4.1
CN0104300000000   01     043   Cullman County, AL                                2018        37,830       36,589      1,241      3.3
CN0104500000000   01     045   Dale County, AL                                   2018        20,120       19,274        846      4.2
CN0104700000000   01     047   Dallas County, AL                                 2018        14,860       13,887        973      6.5
CN0104900000000   01     049   DeKalb County, AL                                 2018        30,129       28,979      1,150      3.8
CN0105100000000   01     051   Elmore County, AL                                 2018        37,215       35,932      1,283      3.4
CN0105300000000   01     053   Escambia County, AL                               2018        14,352       13,696        656      4.6
CN0105500000000   01     055   Etowah County, AL                                 2018        43,096       41,328      1,768      4.1
CN0105700000000   01     057   Fayette County, AL                                2018         6,482        6,215        267      4.1
CN0105900000000   01     059   Franklin County, AL                               2018        14,203       13,673        530      3.7
CN0106100000000   01     061   Geneva County, AL                                 2018        10,851       10,425        426      3.9
CN0106300000000   01     063   Greene County, AL                                 2018         2,838        2,647        191      6.7
CN0106500000000   01     065   Hale County, AL                                   2018         5,991        5,686        305      5.1
CN0106700000000   01     067   Henry County, AL                                  2018         6,766        6,466        300      4.4
CN0106900000000   01     069   Houston County, AL                                2018        45,150       43,325      1,825      4.0
CN0107100000000   01     071   Jackson County, AL                                2018        23,241       22,286        955      4.1
CN0107300000000   01     073   Jefferson County, AL                              2018       314,014      302,359     11,655      3.7
CN0107500000000   01     075   Lamar County, AL                                  2018         5,721        5,503        218      3.8
CN0107700000000   01     077   Lauderdale County, AL                             2018        42,141       40,375      1,766      4.2
CN0107900000000   01     079   Lawrence County, AL                               2018        13,919       13,336        583      4.2
CN0108100000000   01     081   Lee County, AL                                    2018        74,654       71,951      2,703      3.6
CN0108300000000   01     083   Limestone County, AL                              2018        42,393       40,890      1,503      3.5
CN0108500000000   01     085   Lowndes County, AL                                2018         3,625        3,360        265      7.3
CN0108700000000   01     087   Macon County, AL                                  2018         7,816        7,389        427      5.5
CN0108900000000   01     089   Madison County, AL                                2018       179,752      173,532      6,220      3.5
CN0109100000000   01     091   Marengo County, AL                                2018         7,589        7,209        380      5.0
CN0109300000000   01     093   Marion County, AL                                 2018        12,549       12,036        513      4.1
CN0109500000000   01     095   Marshall County, AL                               2018        42,598       41,157      1,441      3.4
CN0109700000000   01     097   Mobile County, AL                                 2018       187,406      178,608      8,798      4.7
CN0109900000000   01     099   Monroe County, AL                                 2018         7,158        6,716        442      6.2
CN0110100000000   01     101   Montgomery County, AL                             2018       105,579      101,360      4,219      4.0
CN0110300000000   01     103   Morgan County, AL                                 2018        56,339       54,356      1,983      3.5
CN0110500000000   01     105   Perry County, AL                                  2018         3,397        3,175        222      6.5
CN0110700000000   01     107   Pickens County, AL                                2018         7,805        7,449        356      4.6
CN0110900000000   01     109   Pike County, AL                                   2018        15,230       14,544        686      4.5
CN0111100000000   01     111   Randolph County, AL                               2018         9,538        9,155        383      4.0
CN0111300000000   01     113   Russell County, AL                                2018        23,753       22,798        955      4.0
CN0111500000000   01     115   St. Clair County, AL                              2018        39,683       38,296      1,387      3.5
CN0111700000000   01     117   Shelby County, AL                                 2018       112,891      109,672      3,219      2.9
CN0111900000000   01     119   Sumter County, AL                                 2018         4,768        4,487        281      5.9
CN0112100000000   01     121   Talladega County, AL                              2018        34,978       33,481      1,497      4.3
CN0112300000000   01     123   Tallapoosa County, AL                             2018        17,772       17,028        744      4.2
CN0112500000000   01     125   Tuscaloosa County, AL                             2018       101,569       97,855      3,714      3.7
CN0112700000000   01     127   Walker County, AL                                 2018        25,132       24,064      1,068      4.2
